BatsMan,OutNotOut,Runs,Balls,Fours,Sixes,SR,Match_ID,Match_Between,Position,Team
Rohit Sharma,Out,47,31,4,3,151.61,ODI # 4705,India vs Australia,1,India
Shubman Gill,Out,4,7,0,0,57.14,ODI # 4705,India vs Australia,2,India
Virat Kohli,Out,54,63,4,0,85.71,ODI # 4705,India vs Australia,3,India
Shreyas Iyer,Out,4,3,1,0,133.33,ODI # 4705,India vs Australia,4,India
KL Rahul,Out,66,107,1,0,61.68,ODI # 4705,India vs Australia,5,India
Ravindra Jadeja,Out,9,22,0,0,40.90,ODI # 4705,India vs Australia,6,India
Suryakumar Yadav,Out,18,28,1,0,64.28,ODI # 4705,India vs Australia,7,India
Mohammed Shami,Out,6,10,1,0,60.00,ODI # 4705,India vs Australia,8,India
Jasprit Bumrah,Out,1,3,0,0,33.33,ODI # 4705,India vs Australia,9,India
Kuldeep Yadav,Out,10,18,0,0,55.55,ODI # 4705,India vs Australia,10,India
Mohammed Siraj,Not Out,9,8,1,0,112.50,ODI # 4705,India vs Australia,11,India
David Warner,Out,7,3,1,0,233.33,ODI # 4705,India vs Australia,1,Australia
Travis Head,Out,137,120,15,4,114.16,ODI # 4705,India vs Australia,2,Australia
Mitchell Marsh,Out,15,15,1,1,100.00,ODI # 4705,India vs Australia,3,Australia
Steven Smith,Out,4,9,1,0,44.44,ODI # 4705,India vs Australia,4,Australia
Marnus Labuschagne,Not Out,58,110,4,0,52.72,ODI # 4705,India vs Australia,5,Australia
Glenn Maxwell,Not Out,2,1,0,0,200.00,ODI # 4705,India vs Australia,6,Australia
Quinton de Kock,Out,3,14,0,0,21.42,ODI # 4704,Australia vs South Africa,1,South Africa
Temba Bavuma,Out,0,4,0,0,0.00,ODI # 4704,Australia vs South Africa,2,South Africa
Rassie van der Dussen,Out,6,31,0,0,19.35,ODI # 4704,Australia vs South Africa,3,South Africa
Aiden Markram,Out,10,20,2,0,50.00,ODI # 4704,Australia vs South Africa,4,South Africa
Heinrich Klaasen,Out,47,48,4,2,97.91,ODI # 4704,Australia vs South Africa,5,South Africa
David Miller,Out,101,116,8,5,87.06,ODI # 4704,Australia vs South Africa,6,South Africa
Marco Jansen,Out,0,1,0,0,0.00,ODI # 4704,Australia vs South Africa,7,South Africa
Gerald Coetzee,Out,19,39,2,0,48.71,ODI # 4704,Australia vs South Africa,8,South Africa
Keshav Maharaj,Out,4,8,0,0,50.00,ODI # 4704,Australia vs South Africa,9,South Africa
Kagiso Rabada,Out,10,12,0,1,83.33,ODI # 4704,Australia vs South Africa,10,South Africa
Tabraiz Shamsi,Not Out,1,5,0,0,20.00,ODI # 4704,Australia vs South Africa,11,South Africa
Travis Head,Out,62,48,9,2,129.16,ODI # 4704,Australia vs South Africa,1,Australia
David Warner,Out,29,18,1,4,161.11,ODI # 4704,Australia vs South Africa,2,Australia
Mitchell Marsh,Out,0,6,0,0,0.00,ODI # 4704,Australia vs South Africa,3,Australia
Steven Smith,Out,30,62,2,0,48.38,ODI # 4704,Australia vs South Africa,4,Australia
Marnus Labuschagne,Out,18,31,2,0,58.06,ODI # 4704,Australia vs South Africa,5,Australia
Glenn Maxwell,Out,1,5,0,0,20.00,ODI # 4704,Australia vs South Africa,6,Australia
Josh Inglis,Out,28,49,3,0,57.14,ODI # 4704,Australia vs South Africa,7,Australia
Mitchell Starc,Not Out,16,38,2,0,42.10,ODI # 4704,Australia vs South Africa,8,Australia
Pat Cummins,Not Out,14,29,2,0,48.27,ODI # 4704,Australia vs South Africa,9,Australia
Rohit Sharma,Out,47,29,4,4,162.06,ODI # 4703,India vs New Zealand,1,India
Shubman Gill,Not Out,80,66,8,3,121.21,ODI # 4703,India vs New Zealand,2,India
Virat Kohli,Out,117,113,9,2,103.53,ODI # 4703,India vs New Zealand,3,India
Shreyas Iyer,Out,105,70,4,8,150.00,ODI # 4703,India vs New Zealand,4,India
KL Rahul,Not Out,39,20,5,2,195.00,ODI # 4703,India vs New Zealand,5,India
Suryakumar Yadav,Out,1,2,0,0,50.00,ODI # 4703,India vs New Zealand,6,India
Devon Conway,Out,13,15,3,0,86.66,ODI # 4703,India vs New Zealand,1,New Zealand
Rachin Ravindra,Out,13,22,3,0,59.09,ODI # 4703,India vs New Zealand,2,New Zealand
Kane Williamson,Out,69,73,8,1,94.52,ODI # 4703,India vs New Zealand,3,New Zealand
Daryl Mitchell,Out,134,119,9,7,112.60,ODI # 4703,India vs New Zealand,4,New Zealand
Tom Latham,Out,0,2,0,0,0.00,ODI # 4703,India vs New Zealand,5,New Zealand
Glenn Phillips,Out,41,33,4,2,124.24,ODI # 4703,India vs New Zealand,6,New Zealand
Mark Chapman,Out,2,5,0,0,40.00,ODI # 4703,India vs New Zealand,7,New Zealand
Mitchell Santner,Out,9,10,0,0,90.00,ODI # 4703,India vs New Zealand,8,New Zealand
Tim Southee,Out,9,10,1,0,90.00,ODI # 4703,India vs New Zealand,9,New Zealand
Trent Boult,Not Out,2,2,0,0,100.00,ODI # 4703,India vs New Zealand,10,New Zealand
Lockie Ferguson,Out,6,3,0,1,200.00,ODI # 4703,India vs New Zealand,11,New Zealand
Rohit Sharma,Out,61,54,8,2,112.96,ODI # 4702,India vs Netherlands,1,India
Shubman Gill,Out,51,32,3,4,159.37,ODI # 4702,India vs Netherlands,2,India
Virat Kohli,Out,51,56,5,1,91.07,ODI # 4702,India vs Netherlands,3,India
Shreyas Iyer,Not Out,128,94,10,5,136.17,ODI # 4702,India vs Netherlands,4,India
KL Rahul,Out,102,64,11,4,159.37,ODI # 4702,India vs Netherlands,5,India
Suryakumar Yadav,Not Out,2,1,0,0,200.00,ODI # 4702,India vs Netherlands,6,India
Wesley Barresi,Out,4,5,0,0,80.00,ODI # 4702,India vs Netherlands,1,Netherlands
Max O'Dowd,Out,30,42,3,1,71.42,ODI # 4702,India vs Netherlands,2,Netherlands
Colin Ackermann,Out,35,32,6,0,109.37,ODI # 4702,India vs Netherlands,3,Netherlands
Sybrand Engelbrecht,Out,45,80,4,0,56.25,ODI # 4702,India vs Netherlands,4,Netherlands
Scott Edwards,Out,17,30,1,0,56.66,ODI # 4702,India vs Netherlands,5,Netherlands
Bas de Leede,Out,12,21,1,0,57.14,ODI # 4702,India vs Netherlands,6,Netherlands
Teja Nidamanuru,Out,54,39,1,6,138.46,ODI # 4702,India vs Netherlands,7,Netherlands
Logan van Beek,Out,16,15,2,0,106.66,ODI # 4702,India vs Netherlands,8,Netherlands
Roelof van der Merwe,Out,16,8,1,2,200.00,ODI # 4702,India vs Netherlands,9,Netherlands
Aryan Dutt,Out,5,11,0,0,45.45,ODI # 4702,India vs Netherlands,10,Netherlands
Paul van Meekeren,Not Out,3,4,0,0,75.00,ODI # 4702,India vs Netherlands,11,Netherlands
Dawid Malan,Out,31,39,5,0,79.48,ODI # 4701,England vs Pakistan,1,England
Jonny Bairstow,Out,59,61,7,1,96.72,ODI # 4701,England vs Pakistan,2,England
Joe Root,Out,60,72,4,0,83.33,ODI # 4701,England vs Pakistan,3,England
Ben Stokes,Out,84,76,11,2,110.52,ODI # 4701,England vs Pakistan,4,England
Jos Buttler,Out,27,18,3,1,150.00,ODI # 4701,England vs Pakistan,5,England
Harry Brook,Out,30,17,2,2,176.47,ODI # 4701,England vs Pakistan,6,England
Moeen Ali,Out,8,6,0,1,133.33,ODI # 4701,England vs Pakistan,7,England
Chris Woakes,Not Out,4,4,1,0,100.00,ODI # 4701,England vs Pakistan,8,England
David Willey,Out,15,5,2,1,300.00,ODI # 4701,England vs Pakistan,9,England
Gus Atkinson,Out,0,1,0,0,0.00,ODI # 4701,England vs Pakistan,10,England
Adil Rashid,Not Out,0,1,0,0,0.00,ODI # 4701,England vs Pakistan,11,England
Abdullah Shafique,Out,0,2,0,0,0.00,ODI # 4701,England vs Pakistan,1,Pakistan
Fakhar Zaman,Out,1,9,0,0,11.11,ODI # 4701,England vs Pakistan,2,Pakistan
Babar Azam,Out,38,45,6,0,84.44,ODI # 4701,England vs Pakistan,3,Pakistan
Mohammad Rizwan,Out,36,51,2,0,70.58,ODI # 4701,England vs Pakistan,4,Pakistan
Saud Shakeel,Out,29,37,4,0,78.37,ODI # 4701,England vs Pakistan,5,Pakistan
Agha Salman,Out,51,45,6,1,113.33,ODI # 4701,England vs Pakistan,6,Pakistan
Iftikhar Ahmed,Out,3,5,0,0,60.00,ODI # 4701,England vs Pakistan,7,Pakistan
Shadab Khan,Out,4,7,1,0,57.14,ODI # 4701,England vs Pakistan,8,Pakistan
Shaheen Shah Afridi,Out,25,23,3,1,108.69,ODI # 4701,England vs Pakistan,9,Pakistan
Mohammad Wasim,Not Out,16,14,2,1,114.28,ODI # 4701,England vs Pakistan,10,Pakistan
Haris Rauf,Out,35,23,3,3,152.17,ODI # 4701,England vs Pakistan,11,Pakistan
Tanzid Hasan,Out,36,34,6,0,105.88,ODI # 4700,Australia vs Bangladesh,1,Bangladesh
Litton Das,Out,36,45,5,0,80.00,ODI # 4700,Australia vs Bangladesh,2,Bangladesh
Najmul Hossain Shanto,Out,45,57,6,0,78.94,ODI # 4700,Australia vs Bangladesh,3,Bangladesh
Towhid Hridoy,Out,74,79,5,2,93.67,ODI # 4700,Australia vs Bangladesh,4,Bangladesh
Mahmudullah,Out,32,28,1,3,114.28,ODI # 4700,Australia vs Bangladesh,5,Bangladesh
Mushfiqur Rahim,Out,21,24,0,1,87.50,ODI # 4700,Australia vs Bangladesh,6,Bangladesh
Mehidy Hasan Miraz,Out,29,20,4,0,145.00,ODI # 4700,Australia vs Bangladesh,7,Bangladesh
Nasum Ahmed,Out,7,11,0,0,63.63,ODI # 4700,Australia vs Bangladesh,8,Bangladesh
Mahedi Hasan,Not Out,2,3,0,0,66.66,ODI # 4700,Australia vs Bangladesh,9,Bangladesh
Taskin Ahmed,Not Out,0,1,0,0,0.00,ODI # 4700,Australia vs Bangladesh,10,Bangladesh
Travis Head,Out,10,11,2,0,90.90,ODI # 4700,Australia vs Bangladesh,1,Australia
David Warner,Out,53,61,6,0,86.88,ODI # 4700,Australia vs Bangladesh,2,Australia
Mitchell Marsh,Not Out,177,132,17,9,134.09,ODI # 4700,Australia vs Bangladesh,3,Australia
Steven Smith,Not Out,63,64,4,1,98.43,ODI # 4700,Australia vs Bangladesh,4,Australia
Rahmanullah Gurbaz,Out,25,22,3,1,113.63,ODI # 4699,Afghanistan vs South Africa,1,Afghanistan
Ibrahim Zadran,Out,15,30,3,0,50.00,ODI # 4699,Afghanistan vs South Africa,2,Afghanistan
Rahmat Shah,Out,26,46,2,0,56.52,ODI # 4699,Afghanistan vs South Africa,3,Afghanistan
Hashmatullah Shahidi,Out,2,7,0,0,28.57,ODI # 4699,Afghanistan vs South Africa,4,Afghanistan
Azmatullah Omarzai,Not Out,97,107,7,3,90.65,ODI # 4699,Afghanistan vs South Africa,5,Afghanistan
Ikram Alikhil,Out,12,14,1,1,85.71,ODI # 4699,Afghanistan vs South Africa,6,Afghanistan
Mohammad Nabi,Out,2,3,0,0,66.66,ODI # 4699,Afghanistan vs South Africa,7,Afghanistan
Rashid Khan,Out,14,30,0,0,46.66,ODI # 4699,Afghanistan vs South Africa,8,Afghanistan
Noor Ahmad,Out,26,32,4,0,81.25,ODI # 4699,Afghanistan vs South Africa,9,Afghanistan
Mujeeb Ur Rahman,Out,8,5,0,1,160.00,ODI # 4699,Afghanistan vs South Africa,10,Afghanistan
Naveen-ul-Haq,Out,2,4,0,0,50.00,ODI # 4699,Afghanistan vs South Africa,11,Afghanistan
Quinton de Kock,Out,41,47,2,3,87.23,ODI # 4699,Afghanistan vs South Africa,1,South Africa
Temba Bavuma,Out,23,28,3,0,82.14,ODI # 4699,Afghanistan vs South Africa,2,South Africa
Rassie van der Dussen,Not Out,76,95,6,1,80.00,ODI # 4699,Afghanistan vs South Africa,3,South Africa
Aiden Markram,Out,25,32,1,1,78.12,ODI # 4699,Afghanistan vs South Africa,4,South Africa
Heinrich Klaasen,Out,10,13,1,0,76.92,ODI # 4699,Afghanistan vs South Africa,5,South Africa
David Miller,Out,24,33,1,1,72.72,ODI # 4699,Afghanistan vs South Africa,6,South Africa
Andile Phehlukwayo,Not Out,39,37,1,3,105.40,ODI # 4699,Afghanistan vs South Africa,7,South Africa
Pathum Nissanka,Out,2,8,0,0,25.00,ODI # 4698,New Zealand vs Sri Lanka,1,Sri Lanka
Kusal Perera,Out,51,28,9,2,182.14,ODI # 4698,New Zealand vs Sri Lanka,2,Sri Lanka
Kusal Mendis,Out,6,7,1,0,85.71,ODI # 4698,New Zealand vs Sri Lanka,3,Sri Lanka
Sadeera Samarawickrama,Out,1,2,0,0,50.00,ODI # 4698,New Zealand vs Sri Lanka,4,Sri Lanka
Charith Asalanka,Out,8,8,1,0,100.00,ODI # 4698,New Zealand vs Sri Lanka,5,Sri Lanka
Angelo Mathews,Out,16,27,2,0,59.25,ODI # 4698,New Zealand vs Sri Lanka,6,Sri Lanka
Dhananjaya de Silva,Out,19,24,2,1,79.16,ODI # 4698,New Zealand vs Sri Lanka,7,Sri Lanka
Chamika Karunaratne,Out,6,17,1,0,35.29,ODI # 4698,New Zealand vs Sri Lanka,8,Sri Lanka
Maheesh Theekshana,Not Out,38,91,3,0,41.75,ODI # 4698,New Zealand vs Sri Lanka,9,Sri Lanka
Dushmantha Chameera,Out,1,20,0,0,5.00,ODI # 4698,New Zealand vs Sri Lanka,10,Sri Lanka
Dilshan Madushanka,Out,19,48,2,0,39.58,ODI # 4698,New Zealand vs Sri Lanka,11,Sri Lanka
Devon Conway,Out,45,42,9,0,107.14,ODI # 4698,New Zealand vs Sri Lanka,1,New Zealand
Rachin Ravindra,Out,42,34,3,3,123.52,ODI # 4698,New Zealand vs Sri Lanka,2,New Zealand
Kane Williamson,Out,14,15,2,0,93.33,ODI # 4698,New Zealand vs Sri Lanka,3,New Zealand
Daryl Mitchell,Out,43,31,5,2,138.70,ODI # 4698,New Zealand vs Sri Lanka,4,New Zealand
Mark Chapman,Out,7,6,1,0,116.66,ODI # 4698,New Zealand vs Sri Lanka,5,New Zealand
Glenn Phillips,Not Out,17,10,3,0,170.00,ODI # 4698,New Zealand vs Sri Lanka,6,New Zealand
Tom Latham,Not Out,2,2,0,0,100.00,ODI # 4698,New Zealand vs Sri Lanka,7,New Zealand
Jonny Bairstow,Out,15,17,2,0,88.23,ODI # 4697,England vs Netherlands,1,England
Dawid Malan,Out,87,74,10,2,117.56,ODI # 4697,England vs Netherlands,2,England
Joe Root,Out,28,35,1,0,80.00,ODI # 4697,England vs Netherlands,3,England
Ben Stokes,Out,108,84,6,6,128.57,ODI # 4697,England vs Netherlands,4,England
Harry Brook,Out,11,16,2,0,68.75,ODI # 4697,England vs Netherlands,5,England
Jos Buttler,Out,5,11,0,0,45.45,ODI # 4697,England vs Netherlands,6,England
Moeen Ali,Out,4,15,0,0,26.66,ODI # 4697,England vs Netherlands,7,England
Chris Woakes,Out,51,45,5,1,113.33,ODI # 4697,England vs Netherlands,8,England
David Willey,Out,6,2,0,1,300.00,ODI # 4697,England vs Netherlands,9,England
Gus Atkinson,Not Out,2,1,0,0,200.00,ODI # 4697,England vs Netherlands,10,England
Adil Rashid,Not Out,1,1,0,0,100.00,ODI # 4697,England vs Netherlands,11,England
Wesley Barresi,Out,37,62,3,1,59.67,ODI # 4697,England vs Netherlands,1,Netherlands
Max O'Dowd,Out,5,11,1,0,45.45,ODI # 4697,England vs Netherlands,2,Netherlands
Colin Ackermann,Out,0,2,0,0,0.00,ODI # 4697,England vs Netherlands,3,Netherlands
Sybrand Engelbrecht,Out,33,49,3,1,67.34,ODI # 4697,England vs Netherlands,4,Netherlands
Scott Edwards,Out,38,42,3,1,90.47,ODI # 4697,England vs Netherlands,5,Netherlands
Bas de Leede,Out,10,12,2,0,83.33,ODI # 4697,England vs Netherlands,6,Netherlands
Teja Nidamanuru,Not Out,41,34,2,3,120.58,ODI # 4697,England vs Netherlands,7,Netherlands
Logan van Beek,Out,2,2,0,0,100.00,ODI # 4697,England vs Netherlands,8,Netherlands
Roelof van der Merwe,Out,0,4,0,0,0.00,ODI # 4697,England vs Netherlands,9,Netherlands
Aryan Dutt,Out,1,3,0,0,33.33,ODI # 4697,England vs Netherlands,10,Netherlands
Paul van Meekeren,Out,4,3,1,0,133.33,ODI # 4697,England vs Netherlands,11,Netherlands
Rahmanullah Gurbaz,Out,21,25,2,0,84.00,ODI # 4696,Afghanistan vs Australia,1,Afghanistan
Ibrahim Zadran,Not Out,129,143,8,3,90.20,ODI # 4696,Afghanistan vs Australia,2,Afghanistan
Rahmat Shah,Out,30,44,1,0,68.18,ODI # 4696,Afghanistan vs Australia,3,Afghanistan
Hashmatullah Shahidi,Out,26,43,2,0,60.46,ODI # 4696,Afghanistan vs Australia,4,Afghanistan
Azmatullah Omarzai,Out,22,18,1,2,122.22,ODI # 4696,Afghanistan vs Australia,5,Afghanistan
Mohammad Nabi,Out,12,10,0,1,120.00,ODI # 4696,Afghanistan vs Australia,6,Afghanistan
Rashid Khan,Not Out,35,18,2,3,194.44,ODI # 4696,Afghanistan vs Australia,7,Afghanistan
David Warner,Out,18,29,3,0,62.06,ODI # 4696,Afghanistan vs Australia,1,Australia
Travis Head,Out,0,2,0,0,0.00,ODI # 4696,Afghanistan vs Australia,2,Australia
Mitchell Marsh,Out,24,11,2,2,218.18,ODI # 4696,Afghanistan vs Australia,3,Australia
Marnus Labuschagne,Out,14,28,2,0,50.00,ODI # 4696,Afghanistan vs Australia,4,Australia
Josh Inglis,Out,0,1,0,0,0.00,ODI # 4696,Afghanistan vs Australia,5,Australia
Glenn Maxwell,Not Out,201,128,21,10,157.03,ODI # 4696,Afghanistan vs Australia,6,Australia
Marcus Stoinis,Out,6,7,1,0,85.71,ODI # 4696,Afghanistan vs Australia,7,Australia
Mitchell Starc,Out,3,7,0,0,42.85,ODI # 4696,Afghanistan vs Australia,8,Australia
Pat Cummins,Not Out,12,68,1,0,17.64,ODI # 4696,Afghanistan vs Australia,9,Australia
Pathum Nissanka,Out,41,36,8,0,113.88,ODI # 4695,Bangladesh vs Sri Lanka,1,Sri Lanka
Kusal Perera,Out,4,5,1,0,80.00,ODI # 4695,Bangladesh vs Sri Lanka,2,Sri Lanka
Kusal Mendis,Out,19,30,1,1,63.33,ODI # 4695,Bangladesh vs Sri Lanka,3,Sri Lanka
Sadeera Samarawickrama,Out,41,42,4,0,97.61,ODI # 4695,Bangladesh vs Sri Lanka,4,Sri Lanka
Charith Asalanka,Out,108,105,6,5,102.85,ODI # 4695,Bangladesh vs Sri Lanka,5,Sri Lanka
Angelo Mathews,Out,0,0,0,0,-,ODI # 4695,Bangladesh vs Sri Lanka,6,Sri Lanka
Dhananjaya de Silva,Out,34,36,4,1,94.44,ODI # 4695,Bangladesh vs Sri Lanka,7,Sri Lanka
Maheesh Theekshana,Out,21,31,3,0,67.74,ODI # 4695,Bangladesh vs Sri Lanka,8,Sri Lanka
Dushmantha Chameera,Out,4,9,0,0,44.44,ODI # 4695,Bangladesh vs Sri Lanka,9,Sri Lanka
Kasun Rajitha,Out,0,2,0,0,0.00,ODI # 4695,Bangladesh vs Sri Lanka,10,Sri Lanka
Dilshan Madushanka,Not Out,0,1,0,0,0.00,ODI # 4695,Bangladesh vs Sri Lanka,11,Sri Lanka
Tanzid Hasan,Out,9,5,2,0,180.00,ODI # 4695,Bangladesh vs Sri Lanka,1,Bangladesh
Litton Das,Out,23,22,2,2,104.54,ODI # 4695,Bangladesh vs Sri Lanka,2,Bangladesh
Najmul Hossain Shanto,Out,90,101,12,0,89.10,ODI # 4695,Bangladesh vs Sri Lanka,3,Bangladesh
Shakib Al Hasan,Out,82,65,12,2,126.15,ODI # 4695,Bangladesh vs Sri Lanka,4,Bangladesh
Mahmudullah,Out,22,23,3,1,95.65,ODI # 4695,Bangladesh vs Sri Lanka,5,Bangladesh
Mushfiqur Rahim,Out,10,13,1,0,76.92,ODI # 4695,Bangladesh vs Sri Lanka,6,Bangladesh
Towhid Hridoy,Not Out,15,7,0,2,214.28,ODI # 4695,Bangladesh vs Sri Lanka,7,Bangladesh
Mehidy Hasan Miraz,Out,3,5,0,0,60.00,ODI # 4695,Bangladesh vs Sri Lanka,8,Bangladesh
Tanzim Hasan Sakib,Not Out,5,6,1,0,83.33,ODI # 4695,Bangladesh vs Sri Lanka,9,Bangladesh
Rohit Sharma,Out,40,24,6,2,166.66,ODI # 4694,India vs South Africa,1,India
Shubman Gill,Out,23,24,4,1,95.83,ODI # 4694,India vs South Africa,2,India
Virat Kohli,Not Out,101,121,10,0,83.47,ODI # 4694,India vs South Africa,3,India
Shreyas Iyer,Out,77,87,7,2,88.50,ODI # 4694,India vs South Africa,4,India
KL Rahul,Out,8,17,0,0,47.05,ODI # 4694,India vs South Africa,5,India
Suryakumar Yadav,Out,22,14,5,0,157.14,ODI # 4694,India vs South Africa,6,India
Ravindra Jadeja,Not Out,29,15,3,1,193.33,ODI # 4694,India vs South Africa,7,India
Quinton de Kock,Out,5,10,1,0,50.00,ODI # 4694,India vs South Africa,1,South Africa
Temba Bavuma,Out,11,19,1,0,57.89,ODI # 4694,India vs South Africa,2,South Africa
Rassie van der Dussen,Out,13,32,1,0,40.62,ODI # 4694,India vs South Africa,3,South Africa
Aiden Markram,Out,9,6,2,0,150.00,ODI # 4694,India vs South Africa,4,South Africa
Heinrich Klaasen,Out,1,11,0,0,9.09,ODI # 4694,India vs South Africa,5,South Africa
David Miller,Out,11,11,2,0,100.00,ODI # 4694,India vs South Africa,6,South Africa
Marco Jansen,Out,14,30,1,0,46.66,ODI # 4694,India vs South Africa,7,South Africa
Keshav Maharaj,Out,7,11,1,0,63.63,ODI # 4694,India vs South Africa,8,South Africa
Kagiso Rabada,Out,6,26,0,0,23.07,ODI # 4694,India vs South Africa,9,South Africa
Lungi Ngidi,Out,0,3,0,0,0.00,ODI # 4694,India vs South Africa,10,South Africa
Tabraiz Shamsi,Not Out,4,4,1,0,100.00,ODI # 4694,India vs South Africa,11,South Africa
